ID,     Lat,     Lon,     Alt,     Velocity,     Yaw,     Pitch
1,877.212341,645.270752,448.867645,19.722729,201.357208,3.768627,
2,418.582520,638.476318,342.487244,23.717022,339.941895,-9.436212,
3,632.765869,751.491211,252.797043,17.159954,43.611244,-3.888779,
4,266.064850,803.266113,474.586151,20.521408,213.390137,-6.347063,
5,201.308868,938.146118,138.582855,13.320333,71.579796,-0.677025,
6,171.051468,375.564667,452.032166,24.807859,99.258728,-6.581773,
7,24.109549,920.027405,211.250259,10.477196,325.666016,4.091902,
8,541.900024,732.991638,242.315643,12.553242,80.813423,13.117939,
9,592.544739,770.926758,442.583588,22.203743,97.916092,-2.667562,
10,209.764511,23.542856,187.318802,16.463461,69.364304,0.037745,
11,601.673828,667.716003,234.059662,12.369563,230.009293,7.676241,
12,122.141388,780.666260,155.113129,13.355690,37.301109,13.994183,
13,330.279358,907.576050,440.517303,11.688147,312.308289,0.149317,
14,614.261108,232.260605,172.457153,23.781387,291.208374,-10.586320,
15,344.984283,585.497925,383.655396,14.718648,6.076786,-6.718205,
16,259.046814,135.878616,218.294571,16.524961,275.006714,-12.119637,
17,226.521194,175.320053,276.111328,10.726180,202.790283,-9.174358,
18,767.558105,504.949036,241.215439,23.680656,225.831375,8.385431,
19,855.824219,592.775879,190.613113,18.512812,106.758636,-19.109051,
20,191.403122,541.038025,295.594238,20.073286,145.625687,-19.576851,
21,731.959167,855.898071,406.417816,16.736446,162.851044,-1.317352,
22,712.659790,289.488190,284.156250,13.815496,105.048134,-13.090794,
23,959.869263,946.514893,371.292603,11.239802,340.582489,-3.738266,
24,860.235107,477.520691,420.891388,19.256596,273.296661,18.000069,
25,194.081833,393.391937,293.649841,23.832245,75.457062,15.258251,
26,988.769531,609.061157,320.483154,14.960787,279.392151,17.587456,
27,878.101807,785.758118,310.791870,12.184411,67.434975,19.241940,
28,994.216797,861.730713,366.164185,21.350689,128.713943,1.937380,
29,267.882935,856.186584,375.215881,19.801479,288.822693,-8.926734,
30,179.867310,997.324524,221.725357,13.305232,26.520863,-19.780832,
31,704.124329,694.655884,158.899780,17.040651,23.694017,17.205444,
32,640.192566,415.036011,323.822784,21.598083,260.506683,1.566349,
33,129.342026,312.690674,277.668945,22.547993,73.426971,-6.559148,
34,126.078857,312.722046,279.578156,16.330446,306.304932,0.368370,
35,911.367798,433.860596,255.821594,15.946699,6.988533,3.883774,
36,33.576561,308.569092,350.570129,15.503671,141.134064,-0.314524,
37,583.579956,679.301819,221.045135,22.678921,155.025742,-3.044029,
38,721.270447,764.944214,459.313477,15.959826,144.379089,9.336670,
39,120.535812,936.622681,385.586456,17.357367,150.083878,-15.170393,
40,837.035278,479.262970,334.396423,23.565662,23.924932,1.945976,
41,498.541748,355.290100,229.557587,14.737721,299.703125,1.814022,
42,170.579727,724.447876,278.340881,12.835617,185.969467,-7.806988,
43,803.304688,513.778564,149.920563,19.191492,278.416260,18.343430,
44,776.274231,291.131592,368.702362,18.157925,318.289032,-6.313087,
45,808.537842,656.796509,157.355270,17.837267,254.448181,-7.462399,
46,814.499390,335.961060,116.250023,23.468151,31.766586,17.400883,
47,65.014969,982.080933,159.681061,20.492252,174.459045,-16.669073,
48,548.211609,938.467773,147.256851,21.943966,130.587173,-2.270060,
49,772.028198,700.704956,329.711121,23.488646,285.179688,-8.299648,
50,338.251526,774.137207,201.964035,14.408949,279.882263,-18.450302,
1,876.919067,645.156067,448.888397,19.900515,203.027496,2.894065,
2,418.934143,638.347900,342.425018,22.844585,339.273834,-8.691591,
3,632.964172,751.680176,252.778427,17.705467,44.732468,-4.320874,
4,265.792389,803.086548,474.549866,20.898279,215.384109,-7.834006,
5,201.376205,938.348328,138.580338,13.797665,72.319946,-0.061814,
6,170.988022,375.953827,451.986664,24.885519,100.391449,-5.412157,
7,24.247623,919.933105,211.262222,11.084351,326.187836,3.862696,
8,541.931274,733.184753,242.361221,12.076946,78.427956,13.968317,
9,592.495850,771.278259,442.567047,22.087612,98.295578,-3.480729,
10,209.857346,23.789371,187.318970,15.809391,66.421555,-0.522167,
11,601.547791,667.565735,234.086105,13.196050,227.838562,7.911306,
12,122.306328,780.791931,155.164810,13.043437,37.289917,14.751179,
13,330.405243,907.437744,440.517792,12.578431,313.936920,-0.886540,
14,614.396423,231.911911,172.387253,23.640362,289.824768,-9.648834,
15,345.216858,585.522705,383.627838,13.721901,6.844132,-6.277472,
16,259.069366,135.621094,218.239059,16.644468,276.559875,-10.870319,
17,226.365005,175.254425,276.083954,10.196376,203.784149,-7.837324,
18,767.296936,504.680176,241.270691,23.089378,226.393326,9.881254,
19,855.743530,593.043884,190.516144,17.599392,108.723251,-20.289091,
20,191.153366,541.208862,295.486633,20.773489,148.591354,-18.813826,
21,731.703369,855.976990,406.411652,16.464729,160.017075,-0.471364,
22,712.603882,289.696106,284.106171,14.350130,106.010315,-12.672734,
23,960.038513,946.455261,371.280884,12.039259,337.720886,-3.214696,
24,860.251953,477.228149,420.986603,19.569407,271.121460,17.118896,
25,194.174210,393.748016,293.750183,23.482510,77.564590,15.625690,
26,988.806763,608.836060,320.555481,14.843224,280.430359,17.604900,
27,878.172424,785.928101,310.856110,12.611179,66.786354,19.725119,
28,994.003235,861.997131,366.175720,22.174610,127.860031,2.324185,
29,267.983917,855.890320,375.166718,19.707258,288.153839,-9.181228,
30,180.046555,997.414001,221.653305,12.991138,27.850567,-20.683975,
31,704.362793,694.760559,158.980423,17.396252,24.794201,17.997976,
32,640.135620,414.695312,323.832245,22.239317,257.543213,1.762030,
33,129.444260,313.034180,277.627747,22.286867,74.588692,-8.058424,
34,126.233559,312.511475,279.579834,17.116179,303.763855,1.143719,
35,911.620483,433.891571,255.838882,15.068597,7.532748,2.755546,
36,33.383423,308.724731,350.568756,16.027914,142.545639,0.301288,
37,583.251465,679.454834,221.025864,22.250797,153.140991,-2.797874,
38,721.065613,765.090942,459.354919,16.186312,144.917435,8.266181,
39,120.303490,936.756348,385.513794,17.080656,148.544083,-16.318499,
40,837.379761,479.415802,334.409241,23.024420,24.407782,3.364767,
41,498.658539,355.085388,229.565048,14.953306,297.844055,2.019038,
42,170.377365,724.426697,278.312988,13.738766,185.038666,-7.159793,
43,803.347351,513.490234,150.017197,19.496658,277.420166,19.435829,
44,776.489807,290.939453,368.670410,18.275623,318.948334,-7.644912,
45,808.461975,656.523865,157.318207,17.665106,256.871979,-6.508657,
46,814.804016,336.149689,116.362312,23.870491,32.502323,16.073099,
47,64.702339,982.111267,159.587006,20.046152,176.593369,-17.488962,
48,547.983337,938.734192,147.242950,22.881937,130.077087,-1.594657,
49,772.125549,700.346069,329.656860,23.756399,286.450562,-6.903904,
50,338.289062,773.921753,201.891068,15.158029,279.177826,-17.868755,
1,876.626404,645.031677,448.904480,18.945480,200.913208,2.443424,
2,419.272064,638.220032,342.369781,21.927143,340.218506,-7.502145,
3,633.164856,751.878967,252.757080,16.978371,44.676914,-4.883646,
4,265.522308,802.894714,474.504303,21.291893,217.548615,-6.623219,
5,201.443253,938.558655,138.580093,14.292937,69.477310,0.598912,
6,170.916519,376.343719,451.949097,24.621002,97.949600,-6.572873,
7,24.394642,919.834656,211.274170,10.883273,323.940613,5.005765,
8,541.968872,733.368469,242.407867,11.519256,80.431915,14.981755,
9,592.444946,771.627319,442.545593,22.877417,101.004890,-2.197013,
10,209.958527,24.021194,187.316666,16.584770,66.734879,-0.019243,
11,601.407410,667.410706,234.115173,13.601873,226.301971,8.526876,
12,122.466888,780.914185,155.217941,13.978659,37.454628,15.076853,
13,330.544861,907.292847,440.514679,12.969649,315.468018,-1.742699,
14,614.522888,231.561111,172.323853,24.490313,288.444763,-9.129683,
15,345.433533,585.548706,383.603821,14.425358,5.980757,-5.470067,
16,259.099243,135.361267,218.188843,17.075054,275.526062,-9.660116,
17,226.217117,175.189240,276.061707,10.942353,204.044662,-6.826924,
18,767.045898,504.416656,241.334091,23.243643,224.928192,10.405640,
19,855.658752,593.294006,190.418503,17.032373,109.424301,-19.313063,
20,190.884842,541.372803,295.379456,20.362038,147.719101,-20.250158,
21,731.455811,856.067017,406.409485,16.734169,157.576599,-1.667893,
22,712.542114,289.911438,284.055786,14.789329,108.463905,-13.697083,
23,960.216492,946.382324,371.270081,11.218682,336.992004,-2.254206,
24,860.257812,476.928955,421.078766,18.851501,268.952087,18.498989,
25,194.252121,394.101349,293.851379,23.940578,79.333733,15.791106,
26,988.847717,608.613403,320.627319,14.647858,278.626099,17.392626,
27,878.247314,786.102661,310.924225,13.228110,63.853222,19.822079,
28,993.785645,862.277039,366.190094,21.677523,130.695618,2.274899,
29,268.080902,855.594543,375.116394,19.178923,287.724640,-10.056032,
30,180.218491,997.504822,221.579880,12.959917,29.492859,-19.251209,
31,704.603088,694.871582,159.066422,17.435881,23.314646,17.756357,
32,640.058899,414.348022,323.843201,22.555750,259.583008,3.253073,
33,129.538086,313.374542,277.577759,21.489607,76.095131,-6.713740,
34,126.385735,312.283844,279.585297,16.356001,303.355316,2.550232,
35,911.859253,433.923126,255.850479,14.742075,7.853753,2.348994,
36,33.179848,308.880676,350.570099,16.528673,140.823608,1.176592,
37,582.934265,679.615479,221.008484,22.804977,152.680618,-2.438615,
38,720.855896,765.238220,459.392151,15.188775,145.711655,8.796684,
39,120.079750,936.893188,385.437012,17.128607,148.995468,-17.120825,
40,837.714661,479.567780,334.430878,23.459820,27.295452,3.377151,
41,498.770203,354.873962,229.573471,14.023062,297.136475,2.944949,
42,170.160095,724.407532,278.285583,12.822741,185.601868,-8.356815,
43,803.385315,513.198547,150.121002,18.744551,277.888428,19.142101,
44,776.708374,290.749115,368.631500,17.397509,321.623779,-7.873413,
45,808.398193,656.250366,157.286163,16.808216,254.355438,-6.310093,
46,815.113525,336.346893,116.468056,23.011364,30.455246,17.232468,
47,64.396965,982.129456,159.490616,19.800442,176.693085,-17.211861,
48,547.747742,939.014221,147.232758,22.658985,128.944641,-2.815609,
49,772.232422,699.984192,329.611176,24.457369,285.833954,-7.970383,
50,338.325867,773.693909,201.816650,15.091838,278.367584,-19.356758,
1,876.343506,644.923584,448.917389,18.519300,202.405685,1.569293,
2,419.599365,638.102295,342.323975,22.449209,339.057526,-6.370758,
3,633.357300,752.069275,252.733948,16.029451,44.466366,-6.301311,
4,265.254028,802.688477,474.464996,22.159163,214.783585,-5.426744,
5,201.523422,938.772827,138.582489,14.807087,67.250740,0.746294,
6,170.862396,376.731293,451.903992,24.464443,96.246742,-6.431215,
7,24.534874,919.732544,211.289368,11.470172,321.080078,4.376620,
8,541.998474,733.544006,242.455521,10.972615,78.652206,14.076387,
9,592.375122,771.986389,442.531555,22.917080,100.913536,-0.740374,
10,210.063339,24.264975,187.316574,15.801573,69.299767,0.138639,
11,601.258728,667.255127,234.147446,13.862696,224.130997,7.192124,
12,122.638329,781.045532,155.276123,13.385455,35.262733,14.924378,
13,330.692719,907.147400,440.508362,12.697657,315.045410,-3.174834,
14,614.645264,231.194107,172.261673,25.000021,285.687531,-10.311745,
15,345.662048,585.572632,383.581818,14.492591,3.457320,-5.908283,
16,259.125183,135.093185,218.143005,17.775911,278.183746,-11.148747,
17,226.058365,175.118408,276.040894,11.318015,207.028381,-6.885334,
18,766.786926,504.158325,241.401260,23.688444,224.214294,11.737195,
19,855.573242,593.536560,190.328369,16.571751,106.575737,-18.579746,
20,190.626434,541.536072,295.266693,20.477444,150.556534,-20.747309,
21,731.208435,856.169128,406.401703,17.144497,155.402100,-1.685704,
22,712.469299,290.129517,283.999756,15.492274,109.094910,-14.654090,
23,960.381592,946.312195,371.263031,10.944610,337.157837,-2.858855,
24,860.252563,476.642975,421.174469,19.676138,269.885895,18.883421,
25,194.320343,394.463562,293.955627,23.795210,80.255791,16.375616,
26,988.881287,608.392273,320.697388,13.823933,276.114807,18.724600,
27,878.335083,786.281372,310.996002,12.892366,60.887459,19.491161,
28,993.559692,862.539795,366.203857,22.225643,132.867111,1.682388,
29,268.172882,855.306763,375.062805,18.919857,290.491547,-11.209651,
30,180.388885,997.601196,221.511505,12.422649,26.645773,-18.734846,
31,704.847107,694.976746,159.151505,16.632500,26.310192,18.241968,
32,639.993774,413.993652,323.863678,22.342016,260.254211,3.384109,
33,129.620148,313.706024,277.537567,20.849899,78.953514,-7.047689,
34,126.529480,312.065460,279.596954,15.696191,303.550446,1.307478,
35,912.092712,433.955322,255.860153,15.261606,8.909969,2.286227,
36,32.974880,309.047699,350.575531,16.307568,140.437363,1.498673,
37,582.610352,679.782776,220.992966,22.745718,150.059021,-1.693604,
38,720.657471,765.373535,459.429321,15.525677,144.488403,9.924677,
39,119.855255,937.028076,385.356323,17.642822,148.299408,-17.613653,
40,838.047668,479.739624,334.453003,23.781778,24.470461,3.303135,
41,498.872406,354.674561,229.584991,14.639807,294.193451,4.172802,
42,169.958084,724.387695,278.255768,12.052355,185.526855,-9.849582,
43,803.424194,512.917908,150.219345,18.390087,277.929047,20.539721,
44,776.924561,290.577942,368.593384,18.385042,321.852936,-9.203577,
45,808.326111,655.992981,157.256607,15.972743,255.105560,-5.575553,
46,815.416687,336.525146,116.577126,23.497017,32.827438,18.729200,
47,64.094849,982.146912,159.396866,18.975132,176.129623,-18.324842,
48,547.520142,939.295837,147.214951,21.831326,128.470917,-3.698283,
49,772.338135,699.611389,329.556915,23.613890,282.836639,-6.686110,
50,338.359009,773.468506,201.736618,14.469875,280.814453,-20.504877,
1,876.069641,644.810669,448.925507,18.077545,200.159607,2.996041,
2,419.932739,637.974731,342.284119,22.054399,340.729767,-6.947612,
3,633.539246,752.247864,252.705795,15.836745,44.534954,-4.961131,
4,264.964142,802.487122,474.431458,23.156458,216.837463,-6.004273,
5,201.615036,938.991272,138.585571,14.669548,65.392555,1.356338,
6,170.820068,377.117950,451.860138,23.749298,94.784599,-6.293390,
7,24.677242,919.617615,211.303375,12.435891,318.202789,4.890870,
8,542.031982,733.710938,242.498215,10.032046,78.321533,13.938355,
9,592.305725,772.346375,442.526825,22.676874,100.699440,-0.448707,
10,210.152710,24.501478,187.317184,15.685106,66.398766,-0.940240,
11,601.100769,667.101929,234.175217,14.710131,226.367584,6.173413,
12,122.807297,781.164978,155.331284,13.301735,36.518520,16.383253,
13,330.836273,907.004089,440.497101,12.368280,317.927826,-1.978438,
14,614.751648,230.815231,172.190079,24.106646,283.251953,-11.790018,
15,345.892273,585.586548,383.557953,15.399839,5.359040,-6.386915,
16,259.164917,134.816986,218.088013,18.308870,276.496979,-10.701216,
17,225.898224,175.036713,276.019196,12.272409,208.776566,-7.619060,
18,766.520935,503.899536,241.478363,23.512356,224.584152,10.752467,
19,855.501526,593.777466,190.243881,17.540895,106.873100,-19.633232,
20,190.359619,541.686707,295.150635,20.165062,150.767075,-19.344341,
21,730.959106,856.283264,406.393646,17.315655,156.722595,-1.244874,
22,712.390869,290.356140,283.937042,15.937730,109.734940,-15.197546,
23,960.542786,946.244324,371.254303,10.827017,334.220093,-3.448330,
24,860.251953,476.345093,421.276367,20.459236,267.852753,19.325071,
25,194.382172,394.823578,294.062958,24.544102,81.917793,15.840080,
26,988.903625,608.183960,320.768402,14.284630,277.442108,19.354818,
27,878.429688,786.451233,311.064819,13.421001,57.948330,19.927572,
28,993.317871,862.800293,366.214294,22.319855,131.273056,3.044591,
29,268.276825,855.028625,375.003967,19.547529,287.742950,-10.613176,
30,180.557129,997.685608,221.447662,11.732887,27.103603,-19.338272,
31,705.073669,695.088745,159.234802,17.368013,27.578289,18.323788,
32,639.933350,413.641968,323.884766,23.183952,259.213135,3.528947,
33,129.683578,314.030975,277.496643,20.692871,81.712753,-7.328583,
34,126.668243,311.856201,279.602692,16.006760,303.848145,-0.178980,
35,912.333740,433.993103,255.869888,14.335858,10.475084,2.058529,
36,32.773796,309.213837,350.582367,15.892344,138.127808,2.636474,
37,582.295105,679.964355,220.982208,22.826120,152.045197,-1.013331,
38,720.458313,765.515686,459.472137,16.250244,144.535492,11.217627,
39,119.626343,937.169434,385.270905,18.342327,149.422531,-18.799698,
